"rowid","p","o"
"example1","http://dd.eionet.europa.eu/vocabulary/eurostat/geo/","IT"
"example1","http://dd.eionet.europa.eu/vocabulary/eurostat/time/","2021-01-01"
"example1","http://dd.eionet.europa.eu/vocabulary/eurostat/indic_is/","I_DSK2_BAB"
"example1","http://dd.eionet.europa.eu/vocabulary/eurostat/ind_type/","F_Y16_74"
"example1","http://dd.eionet.europa.eu/vocabulary/eurostat/unit/","PC_IND"
"example1","eg:tepsr_sp410","""43.09""^^xsd::decimal"
"example2","http://dd.eionet.europa.eu/vocabulary/eurostat/geo/","IT"
"example2","http://dd.eionet.europa.eu/vocabulary/eurostat/time/","2021-01-01"
"example2","http://dd.eionet.europa.eu/vocabulary/eurostat/indic_is/","I_DSK2_BAB"
"example2","http://dd.eionet.europa.eu/vocabulary/eurostat/ind_type/","IND_TOTAL"
"example2","http://dd.eionet.europa.eu/vocabulary/eurostat/unit/","PC_IND"
"example2","eg:tepsr_sp410","""45.6""^^xsd::decimal"
"example3","http://dd.eionet.europa.eu/vocabulary/eurostat/geo/","IT"
"example3","http://dd.eionet.europa.eu/vocabulary/eurostat/time/","2021-01-01"
"example3","http://dd.eionet.europa.eu/vocabulary/eurostat/indic_is/","I_DSK2_BAB"
"example3","http://dd.eionet.europa.eu/vocabulary/eurostat/ind_type/","M_Y16_74"
"example3","http://dd.eionet.europa.eu/vocabulary/eurostat/unit/","PC_IND"
"example3","eg:tepsr_sp410","""48.16""^^xsd::decimal"
"example4","http://dd.eionet.europa.eu/vocabulary/eurostat/geo/","NL"
"example4","http://dd.eionet.europa.eu/vocabulary/eurostat/time/","2021-01-01"
"example4","http://dd.eionet.europa.eu/vocabulary/eurostat/indic_is/","I_DSK2_BAB"
"example4","http://dd.eionet.europa.eu/vocabulary/eurostat/ind_type/","F_Y16_74"
"example4","http://dd.eionet.europa.eu/vocabulary/eurostat/unit/","PC_IND"
"example4","eg:tepsr_sp410","""76.94""^^xsd::decimal"
"example5","http://dd.eionet.europa.eu/vocabulary/eurostat/geo/","NL"
"example5","http://dd.eionet.europa.eu/vocabulary/eurostat/time/","2021-01-01"
"example5","http://dd.eionet.europa.eu/vocabulary/eurostat/indic_is/","I_DSK2_BAB"
"example5","http://dd.eionet.europa.eu/vocabulary/eurostat/ind_type/","IND_TOTAL"
"example5","http://dd.eionet.europa.eu/vocabulary/eurostat/unit/","PC_IND"
"example5","eg:tepsr_sp410","""78.94""^^xsd::decimal"
"example6","http://dd.eionet.europa.eu/vocabulary/eurostat/geo/","NL"
"example6","http://dd.eionet.europa.eu/vocabulary/eurostat/time/","2021-01-01"
"example6","http://dd.eionet.europa.eu/vocabulary/eurostat/indic_is/","I_DSK2_BAB"
"example6","http://dd.eionet.europa.eu/vocabulary/eurostat/ind_type/","M_Y16_74"
"example6","http://dd.eionet.europa.eu/vocabulary/eurostat/unit/","PC_IND"
"example6","eg:tepsr_sp410","""80.94""^^xsd::decimal"
